Hour,Day,Month,State_of_Charge
1,12,12,10.0
2,12,12,10.0
3,12,12,10.0
4,12,12,10.0
5,12,12,10.0
6,12,12,10.0
7,12,12,10.0
8,12,12,100.0
9,12,12,100.0
10,12,12,100.0
11,12,12,100.0
12,12,12,100.0
13,12,12,100.0
14,12,12,100.0
15,12,12,100.0
16,12,12,100.0
17,12,12,100.0
18,12,12,10.0
19,12,12,10.0
20,12,12,10.0
21,12,12,10.0
22,12,12,10.0
23,12,12,10.0
24,12,12,10.0
1,13,12,10.0
2,13,12,10.0
3,13,12,10.0
4,13,12,10.0
5,13,12,10.0
6,13,12,10.0
7,13,12,10.0
8,13,12,10.0
9,13,12,100.0
10,13,12,190.0
11,13,12,190.0
12,13,12,190.0
13,13,12,190.0
14,13,12,190.0
15,13,12,190.0
16,13,12,190.0
17,13,12,100.0
18,13,12,10.0
19,13,12,10.0
20,13,12,10.0
21,13,12,10.0
22,13,12,10.0
23,13,12,10.0
24,13,12,10.0
1,14,12,10.0
2,14,12,10.0
3,14,12,10.0
4,14,12,10.0
5,14,12,10.0
6,14,12,10.0
7,14,12,10.0
8,14,12,10.0
9,14,12,100.0
10,14,12,100.0
11,14,12,100.0
12,14,12,100.0
13,14,12,100.0
14,14,12,100.0
15,14,12,100.0
16,14,12,100.0
17,14,12,10.0
18,14,12,10.0
19,14,12,10.0
20,14,12,10.0
21,14,12,10.0
22,14,12,10.0
23,14,12,10.0
24,14,12,10.0
1,15,12,10.0
2,15,12,10.0
3,15,12,10.0
4,15,12,10.0
5,15,12,10.0
6,15,12,10.0
7,15,12,10.0
8,15,12,10.0
9,15,12,100.0
10,15,12,100.0
11,15,12,100.0
12,15,12,100.0
13,15,12,100.0
14,15,12,100.0
15,15,12,100.0
16,15,12,100.0
17,15,12,100.0
18,15,12,10.0
19,15,12,10.0
20,15,12,10.0
21,15,12,10.0
22,15,12,10.0
23,15,12,10.0
24,15,12,10.0
1,16,12,10.0
2,16,12,10.0
3,16,12,10.0
4,16,12,10.0
5,16,12,10.0
6,16,12,10.0
7,16,12,10.0
8,16,12,100.0
9,16,12,190.0
10,16,12,190.0
11,16,12,190.0
12,16,12,190.0
13,16,12,190.0
14,16,12,190.0
15,16,12,190.0
16,16,12,190.0
17,16,12,100.0
18,16,12,10.0
19,16,12,10.0
20,16,12,10.0
21,16,12,10.0
22,16,12,10.0
23,16,12,10.0
24,16,12,10.0
1,17,12,10.0
2,17,12,10.0
3,17,12,10.0
4,17,12,10.0
5,17,12,10.0
6,17,12,10.0
7,17,12,10.0
8,17,12,10.0
9,17,12,100.0
10,17,12,100.0
11,17,12,100.0
12,17,12,100.0
13,17,12,100.0
14,17,12,100.0
15,17,12,100.0
16,17,12,100.0
17,17,12,10.0
18,17,12,0.0
19,17,12,0.0
20,17,12,0.0
21,17,12,0.0
22,17,12,0.0
23,17,12,10.0
24,17,12,10.0
1,18,12,10.0
2,18,12,90.0
3,18,12,90.0
4,18,12,90.0
5,18,12,90.0
6,18,12,90.0
7,18,12,90.0
8,18,12,90.0
9,18,12,180.0
10,18,12,180.0
11,18,12,180.0
12,18,12,180.0
13,18,12,180.0
14,18,12,180.0
15,18,12,180.0
16,18,12,180.0
17,18,12,90.0
18,18,12,0.0
19,18,12,0.0
20,18,12,0.0
21,18,12,0.0
22,18,12,0.0
23,18,12,0.0
24,18,12,10.0
1,19,12,10.0
2,19,12,10.0
3,19,12,10.0
4,19,12,10.0
5,19,12,10.0
6,19,12,10.0
7,19,12,10.0
8,19,12,10.0
9,19,12,100.0
10,19,12,100.0
11,19,12,100.0
12,19,12,100.0
13,19,12,100.0
14,19,12,100.0
15,19,12,100.0
16,19,12,100.0
17,19,12,10.0
18,19,12,10.0
19,19,12,10.0
20,19,12,10.0
21,19,12,10.0
22,19,12,10.0
23,19,12,10.0
24,19,12,10.0
1,20,12,10.0
2,20,12,10.0
3,20,12,10.0
4,20,12,10.0
5,20,12,10.0
6,20,12,10.0
7,20,12,10.0
8,20,12,10.0
9,20,12,100.0
10,20,12,100.0
11,20,12,190.0
12,20,12,190.0
13,20,12,190.0
14,20,12,190.0
15,20,12,190.0
16,20,12,190.0
17,20,12,100.0
18,20,12,10.0
19,20,12,10.0
20,20,12,10.0
21,20,12,10.0
22,20,12,10.0
23,20,12,10.0
24,20,12,10.0
1,21,12,10.0
2,21,12,10.0
3,21,12,10.0
4,21,12,10.0
5,21,12,10.0
6,21,12,10.0
7,21,12,10.0
8,21,12,10.0
9,21,12,100.0
10,21,12,100.0
11,21,12,100.0
12,21,12,100.0
13,21,12,100.0
14,21,12,100.0
15,21,12,100.0
16,21,12,100.0
17,21,12,10.0
18,21,12,10.0
19,21,12,10.0
20,21,12,10.0
21,21,12,10.0
22,21,12,10.0
23,21,12,10.0
24,21,12,10.0
1,22,12,10.0
2,22,12,10.0
3,22,12,10.0
4,22,12,10.0
5,22,12,10.0
6,22,12,10.0
7,22,12,10.0
8,22,12,10.0
9,22,12,100.0
10,22,12,190.0
11,22,12,190.0
12,22,12,190.0
13,22,12,190.0
14,22,12,190.0
15,22,12,190.0
16,22,12,190.0
17,22,12,100.0
18,22,12,10.0
19,22,12,10.0
20,22,12,10.0
21,22,12,10.0
